"Processor_Number","Vertical_Segment","nb_of_Cores","Price_USD","Launch_Year","Turbo_Frequency_GHz","Cache_MB","TDP_W","Max_Memory_GB"
"P6300","Mobile",2,NA,2011,2.27,3,35,8
"","Mobile",1,NA,NA,0.3,256,11.6,NA
"","Desktop",1,NA,NA,0.2,512,15.7,NA
"","Desktop",1,NA,NA,0.2,512,37.9,NA
"","Desktop",1,NA,NA,0.333,512,20.6,NA
"G6960","Desktop",2,NA,2011,2.93,3,73,16.38
"E6500K","Desktop",2,NA,2009,2.93,2,65,NA
"E2200","Desktop",2,NA,2007,2.2,1,65,NA
"T2310","Mobile",2,NA,2007,1.46,1,35,NA
"","Mobile",1,NA,NA,1.5,1,24.5,NA
"","Desktop",1,NA,NA,0.45,512,25.3,NA
"","Desktop",1,NA,NA,2.8,1,89,NA
"","Desktop",1,NA,NA,1.33,256,29.9,NA
"930","Desktop",2,178,2006,3,4,95,NA
"840","Desktop",2,423,2005,3.2,2,130,NA
"","Desktop",1,NA,NA,2.8,512,69.7,NA
"641","Desktop",1,NA,2006,3.2,2,86,NA
"511","Desktop",1,NA,2005,2.8,1,84,NA
"","Desktop",1,NA,NA,1.6,256,61,NA
"","Mobile",1,NA,NA,0.6,512,34.5,NA
"","Mobile",1,NA,NA,1.2,512,22,NA
"","Mobile",1,NA,NA,2.8,512,68.4,NA
"548","Mobile",1,NA,NA,3.33,1,88,NA
"","Mobile",1,NA,NA,2.5,512,35,NA
"B980","Mobile",2,NA,2012,2.4,2,35,16
"G645T","Desktop",2,64,2012,2.5,3,35,32
"977","Mobile",2,NA,2012,1.4,2,17,16.38
"P6200","Mobile",2,NA,2010,2.13,3,35,8
"","Mobile",1,NA,NA,0.8,512,9.8,NA
"","Mobile",1,NA,NA,0.266,512,10.3,NA
"","Desktop",1,NA,NA,0.166,512,13.1,NA
"","Desktop",1,NA,NA,0.2,256,35,NA
"","Desktop",1,NA,NA,0.45,512,27.1,NA
"","Desktop",1,NA,NA,0.3,512,21.5,NA
"G6950","Desktop",2,NA,2010,2.8,3,73,16.38
"E6500","Desktop",2,NA,2008,2.93,2,65,NA
"E5400","Desktop",2,67,2009,2.7,2,65,NA
"T4300","Mobile",2,NA,NA,2.1,1,35,NA
"E2180","Desktop",2,NA,2007,2,1,65,NA
"520J","Desktop",1,NA,NA,2.8,1,84,NA
"T2130","Mobile",2,NA,2007,1.86,1,31,NA
"715","Mobile",1,NA,NA,1.5,2,7.5,NA
"","Mobile",1,NA,2003,1.6,1,24.5,NA
"","Desktop",1,NA,NA,1.2,256,29.9,NA
"925","Desktop",2,74,2006,3,4,95,NA
"830","Desktop",2,316,2005,3,2,130,NA
"640","Desktop",1,NA,2005,3.2,2,84,NA
"506","Desktop",1,NA,2005,2.66,1,84,NA
"","Desktop",1,NA,2002,2.4,512,59.8,NA
"","Desktop",1,NA,NA,1.5,256,57.8,NA
"","Mobile",1,NA,NA,0.5,256,16.8,NA
"","Mobile",1,NA,NA,1.13,512,21.8,NA
"","Mobile",1,NA,NA,2.66,512,66.1,NA
"","Mobile",1,NA,NA,2.6,512,35,NA
"538","Mobile",1,NA,NA,3.2,1,88,NA
"987","Mobile",2,NA,2012,1.5,2,17,16.38
"P6100","Mobile",2,NA,2010,2,3,35,8
"U5600","Mobile",2,NA,2011,1.33,3,18,8
"","Desktop",1,NA,NA,0.2,1,44,NA
"","Desktop",1,NA,NA,0.18,256,31.7,NA
"","Desktop",1,NA,NA,0.4,512,24.3,NA
"","Desktop",1,NA,NA,0.266,512,16.8,NA
"","Mobile",1,NA,NA,0.266,256,10.3,NA
"G6951","Desktop",2,NA,2011,2.8,3,73,16.38
"T3400","Mobile",2,NA,2008,2.16,1,35,NA
"E5300","Desktop",2,NA,2008,2.6,2,65,NA
"T2080","Mobile",2,NA,2007,1.73,1,31,NA
"E2160","Desktop",2,NA,2006,1.8,1,65,NA
"965","Desktop",2,999,2006,3.73,4,130,NA
"","Mobile",1,NA,NA,1.7,1,24.5,NA
"","Desktop",1,NA,NA,1.13,256,29.1,NA
"","Desktop",1,NA,NA,1.1,256,33,NA
"920","Desktop",2,NA,2006,2.8,4,95,NA
"820","Desktop",2,74,2005,2.8,2,95,NA
"","Desktop",1,NA,NA,2.6,512,69,NA
"","Desktop",1,NA,2004,3.73,2,115,NA
"","Desktop",1,NA,NA,3.4,2,102.9,NA
"631","Desktop",1,NA,2006,3,2,86,NA
"520","Desktop",1,NA,2004,2.8,1,84,NA
"505J","Desktop",1,NA,2005,2.66,1,84,NA
"","Desktop",1,NA,NA,2.4,1,89,NA
"","Desktop",1,NA,NA,1.4,256,54.7,NA
"","Mobile",1,NA,NA,0.45,256,15.5,NA
"","Mobile",1,NA,NA,1.06,512,21,NA
"532","Mobile",1,NA,NA,3.06,1,88,NA
"997","Mobile",2,NA,2012,1.6,2,17,16
"","Mobile",1,NA,NA,1.06,512,21,NA
"","Mobile",1,NA,NA,0.233,512,9,NA
"","Desktop",1,NA,NA,0.166,512,35,NA
"","Desktop",1,NA,NA,0.15,256,31.7,NA
"","Desktop",1,NA,NA,0.35,512,21.5,NA
"","Desktop",1,NA,NA,0.233,512,34.8,NA
"U5400","Mobile",2,NA,2010,1.2,3,18,8
"P6000","Mobile",2,NA,2010,1.86,3,35,8
"E6300","Desktop",2,77,2009,2.8,2,65,NA
"T4200","Mobile",2,NA,2009,2,1,35,NA
"E5200","Desktop",2,72,2008,2.5,2,65,NA
"T3200","Mobile",2,NA,NA,2,1,35,NA
"","Desktop",1,NA,NA,3,512,81.9,NA
"E2140","Desktop",2,NA,2007,1.6,1,65,NA
"T2060","Mobile",2,NA,2007,1.6,1,31,NA
"955","Desktop",2,999,2006,3.46,4,130,NA
"840","Desktop",2,NA,2005,3.2,2,130,NA
"705","Mobile",1,NA,NA,1.5,1,24.5,NA
"","Desktop",1,NA,2000,1,256,29,NA
"","Desktop",1,NA,2000,1,256,29,NA
"915","Desktop",2,74,2006,2.8,4,95,NA
"805","Desktop",2,93,2005,2.66,2,95,NA
"","Desktop",1,NA,NA,3.06,512,81.8,NA
"","Desktop",1,NA,NA,2.4,512,66.2,NA
"","Desktop",1,NA,2004,3.46,2,110.7,NA
"","Desktop",1,NA,NA,3.2,2,92.1,NA
"630","Desktop",1,NA,2005,3,2,84,NA
"620","Desktop",1,NA,NA,2.8,2,84,NA
"517","Desktop",1,NA,2005,2.93,1,84,NA
"505","Desktop",1,NA,NA,2.66,1,84,NA
"","Desktop",1,NA,NA,2.26,512,58,NA
"","Desktop",1,NA,NA,1.3,256,51.6,NA
"","Mobile",1,NA,NA,1,256,34,NA
"","Mobile",1,NA,NA,1,512,20.5,NA
"","Mobile",1,NA,NA,2.4,512,59.8,NA
"G1610T","Desktop",2,42,2013,2.3,2,35,32
"G1620","Desktop",2,NA,2013,2.7,2,55,32
"G1620T","Desktop",2,42,2013,2.4,2,35,32
"G1820","Desktop",2,42,2014,2.7,2,53,32
"G1630","Desktop",2,52,2013,2.8,2,55,32
"G1820T","Desktop",2,42,2014,2.4,2,35,32
"G1820TE","Embedded",2,42,2014,2.2,2,35,32
"G1830","Desktop",2,52,2014,2.8,2,53,32
"G1840","Desktop",2,42,2014,2.8,2,53,32
"G1840T","Desktop",2,42,2014,2.5,2,35,32
"G1850","Desktop",2,52,2014,2.9,2,53,32
"G3900","Desktop",2,42,2015,2.8,2,51,64
"G3900T","Desktop",2,NA,2015,2.6,2,35,64
"G3900E","Embedded",2,107,2016,2.4,2,35,64
"G3900TE","Embedded",2,42,2015,2.3,2,35,64
"G3920","Desktop",2,52,2015,2.9,2,51,64
"G3902E","Embedded",2,107,2016,1.6,2,25,64
"G3930","Desktop",2,42,2017,2.9,2,51,64
"G3930E","Desktop",2,42,2017,2.9,2,54,64
"G3930T","Desktop",2,42,2017,2.7,2,35,64
"G3930TE","Desktop",2,42,2017,2.7,2,35,64
"G3950","Desktop",2,52,2017,3,2,51,64
"J1800","Desktop",2,72,2013,2.41,1,10,8
"J1900","Desktop",4,82,2013,2,2,10,8
"J1850","Desktop",4,NA,2013,2,2,10,8
"J3060","Desktop",2,107,2016,1.6,2,6,8
"J3160","Desktop",4,NA,2016,1.6,2,6,8
"J3355","Desktop",2,107,2016,2,2,10,8
"J3455","Desktop",4,107,2016,1.5,2,10,8
"N2806","Mobile",2,107,2013,1.6,1,4.5,4
"N2807","Mobile",2,107,2014,1.58,1,4.3,4
"N2808","Mobile",2,107,2014,1.58,1,4.5,4
"N2810","Mobile",2,NA,2013,2,1,7.5,8
"N2815","Mobile",2,NA,2013,1.86,1,7.5,8
"N2820","Mobile",2,NA,2013,2.13,1,7.5,8
