"Processor_Number","Vertical_Segment","nb_of_Cores","nb_of_Threads","Max_nb_of_Memory_Channels","PCI_Express_Revision","Max_nb_of_PCI_Express_Lanes","Price_USD","Launch_Year","Lithography_nm","Base_Frequency_GHz","Turbo_Frequency_GHz","Cache_MB","TDP_W","Max_Memory_GB","Memory_Bandwidth_GBs"
"","Mobile",1,1,2,3,12,64,2002,130,2,2,512,32,16,25.6
"B950","Mobile",2,2,2,2,1,275,2011,32,2.1,2.1,2,35,16,21.3
"G870","Desktop",2,2,2,2,16,82,2012,32,3.1,3.1,3,65,32,21
"G640","Desktop",2,2,2,2,16,64,2012,32,2.8,2.8,3,65,32,17
"E6700","Desktop",2,2,2,3,16,75,2010,45,3.2,3.2,2,65,32,21
"E5800","Desktop",2,2,2,3,16,72,2010,45,3.2,3.2,2,65,32,21
"T2390","Mobile",2,2,2,3,12,275,2007,65,1.86,1.86,1,35,16,25.6
"","Mobile",1,1,2,3,12,64,2002,130,1.3,1.3,1,22,16,25.6
"","Desktop",1,1,2,3,16,37,2000,180,0.55,0.55,256,14.5,32,25.6
"945","Desktop",2,2,2,3,16,163,2006,65,3.4,3.4,4,95,32,25.6
"","Desktop",1,1,2,3,16,37,2099,250,0.533,0.533,512,29.7,32,25.6
"","Desktop",1,1,2,3,16,37,2002,130,3,3,512,81.9,32,25.6
"521","Desktop",1,1,2,3,16,37,2005,90,2.8,2.8,1,84,32,25.6
"516","Desktop",1,1,2,3,16,37,2005,90,2.93,2.93,1,84,32,25.6
"","Desktop",1,1,2,3,16,37,2002,130,2.66,2.66,512,66.1,32,25.6
"660","Desktop",1,1,2,3,16,37,2005,90,3.6,3.6,2,115,32,25.6
"","Mobile",1,1,2,3,12,64,2000,180,0.75,0.75,256,24.6,16,25.6
"","Mobile",1,1,2,3,12,64,2002,130,0.65,0.65,256,7,16,25.6
"","Mobile",1,1,2,3,12,64,2002,130,2.2,2.2,512,35,16,25.6
"G640T","Desktop",2,2,2,2,16,75,2012,32,2.4,2.4,3,35,32,17
"E5700","Desktop",2,2,2,3,16,64,2010,45,3,3,2,65,32,21
"T4400","Mobile",2,2,2,3,12,275,2009,45,2.2,2.2,1,35,16,21
"T2370","Mobile",2,2,2,3,12,275,2008,65,1.73,1.73,1,35,16,25.6
"E2220","Desktop",2,2,2,3,16,75,2008,65,2.4,2.4,1,65,32,25.6
"725","Mobile",1,1,2,3,12,64,2004,90,1.6,1.6,2,7.5,16,25.6
"","Mobile",1,1,2,3,12,64,2002,130,1.4,1.4,1,22,16,25.6
"","Desktop",1,1,2,3,16,37,2000,180,0.533,0.533,256,14,32,25.6
"","Desktop",1,1,2,3,16,37,2099,250,0.5,0.5,512,28,32,25.6
"940","Desktop",2,2,2,3,16,183,2006,65,3.2,3.2,4,130,32,25.6
"","Desktop",1,1,2,3,16,37,2004,90,3,3,1,89,32,25.6
"651","Desktop",1,1,2,3,16,81,2006,65,3.4,3.4,2,86,32,25.6
"520J","Desktop",1,1,2,3,16,37,2004,90,2.8,2.8,1,84,32,25.6
