"Processor_Number","Vertical_Segment","nb_of_Cores","Price_USD","Launch_Year","Turbo_Frequency_GHz","Cache_MB","TDP_W","Max_Memory_GB"
"E3-1585LV5","Server",4,445,2016,3.7,8,45,64
"E3-1585V5","Server",4,556,2016,3.9,8,65,64
"E3-1265LV4","Server",4,417,2015,3.3,6,35,32
"E3-1278LV4","Embedded",4,449,2015,3.3,6,47,32
"E3-1285V4","Server",4,556,2015,3.8,6,95,32
"E3-1285LV4","Server",4,445,2015,3.8,6,65,32
"E3-1230Lv3","Server",4,250,2013,2.8,8,25,32
"E3-1240LV3","Server",4,278,2014,3,8,25,32
"E3-1265Lv3","Server",4,294,2013,3.7,8,45,32
"E3-1268LV3","Embedded",4,377,2013,3.3,8,45,32
"E3-1275LV3","Server",4,328,2014,3.9,8,45,32
"E3-1280 v3","Server",4,612,2013,4,8,82,32
"E3-1281V3","Server",4,612,2014,4.1,8,82,32
"E3-1285 v3","Server",4,662,2013,4,8,84,32
"E3-1286V3","Server",4,662,2014,4.1,8,84,32
"E3-1286LV3","Server",4,774,2014,4,8,65,32
"E3-1105CV2","Embedded",4,389,2013,1.8,8,25,32
"E3-1125CV2","Embedded",4,545,2013,2.5,8,40,32
"E3-1220LV2","Server",2,189,2012,3.5,3,17,32.23
"E3-1280V2","Server",4,623,2012,4,8,69,32.77
"E3-1125C","Embedded",4,519,2012,2,8,40,32
"E3-1220L","Server",2,189,2011,3.4,3,20,32
"E3-1230","Server",4,230,2011,3.6,8,80,32
"E3-1235","Server",4,250,2011,3.6,8,95,32
"E3-1260L","Server",4,294,2011,3.3,8,45,32
"D-1518","Server",4,234,2015,2.2,6,35,128
"D-1520","Server",4,199,2015,2.6,6,45,128
"D-1521","Server",4,199,2015,2.7,6,45,128
"D-1523N","Server",4,256,2017,2.6,6,45,128
"D-1527","Server",4,259,2015,2.7,6,35,128
"D-1528","Server",6,389,2015,2.5,9,35,128
"D-1529","Server",4,324,2016,1.3,6,20,128
"D-1531","Server",6,348,2015,2.7,9,45,128
"D-1533N","Server",6,470,2017,2.7,9,45,128
"D-1537","Server",8,571,2015,2.3,12,35,128
"D-1539","Server",8,590,2016,2.2,12,35,128
"D-1540","Server",8,581,2015,2.6,12,45,128
"D-1541","Server",8,581,2015,2.7,12,45,128
"D-1543N","Server",8,652,2017,2.5,12,45,128
"D-1548","Server",8,675,2015,2.6,12,45,128
"D-1559","Server",12,883,2016,2.1,18,45,128
"D-1557","Server",12,844,2016,2.1,18,45,128
"D-1567","Server",12,1299,2016,2.7,18,65,128
"D-1553N","Server",8,855,2017,2.7,12,65,128
"D-1571","Server",16,1222,2016,2.1,24,45,128
"D-1577","Server",16,1477,2016,2.1,24,45,128
"L5609","Server",4,440,2010,1.86,12,40,288
"E5504","Server",4,221,2009,2,4,80,144
"X5647","Server",4,774,2011,3.2,12,130,288
"E5540","Server",4,940,2009,2.8,8,80,144
"X5667","Server",4,1440,2010,3.46,12,95,288
"L5508","Embedded",2,403,2009,2.4,8,38,144
"L3406","Server",2,201,2010,2.53,4,30,16.38
"L5518","Embedded",4,504,2009,2.4,8,60,144
"W3670","Server",6,594,2010,3.46,12,130,24
"L3426","Server",4,305,2009,3.2,8,45,32
"W3520","Server",4,305,2009,2.93,8,130,24
"X5677","Server",4,1663,2010,3.73,12,130,288
"W3530","Server",4,305,2010,3.06,8,130,24
"X3440","Server",4,230,2009,2.93,8,95,32
"W3540","Server",4,594,2009,3.2,8,130,24
"W3680","Server",6,594,2010,3.6,12,130,24
"W3550","Server",4,305,2009,3.33,8,130,24
"X5687","Server",4,1663,2011,3.86,12,130,288
"W3565","Server",4,305,2009,3.46,8,130,24
"W-2155","Server",10,1440,2017,4.5,13.75,140,512
"W-2145","Server",8,1113,2017,4.5,11,140,512
"W-2135","Server",6,835,2017,4.5,8.25,140,512
"W-2133","Server",6,617,2017,3.9,8.25,140,512
"W-2125","Server",4,444,2017,4.5,8.25,120,512
"W-2123","Server",4,294,2017,3.9,8.25,120,512
"X3470","Server",4,339,2009,3.6,8,95,32
"W3570","Server",4,1059,2009,3.46,8,130,24
"X3480","Server",4,623,2010,3.73,8,95,32
"W3580","Server",4,1059,2009,3.6,8,130,24
"7290","Server",72,3213,2016,1.7,36,245,384
"7250F","Server",68,2591,2016,1.6,34,230,384
"7250","Server",68,2436,2016,1.6,34,215,384
"7230F","Server",64,2147,2016,1.5,32,230,384
"7230","Server",64,1992,2016,1.5,32,215,384
"7210F","Server",64,2036,2016,1.5,32,230,384
"7210","Server",64,1881,2016,1.5,32,215,384
"E7-2803","Server",6,774,2011,1.73,18,105,1044.48
"E7-4809V3","Server",8,1223,2015,2,20,115,1576.96
"E7-4809V4","Server",8,1223,2016,2.1,20,115,3143.68
"1000M","Mobile",2,75,2013,1.8,2,35,32
"2000E","Embedded",2,86,2014,2.2,2,37,32
"G2010","Desktop",2,64,2013,2.8,3,55,32
"D1507","Server",2,103,2015,1.2,3,20,128
"i3-4030Y","Mobile",2,281,2014,1.6,3,11.5,16
"i7-4578U","Mobile",2,426,2014,3.5,4,28,16
"i5-5200U","Mobile",2,281,2015,2.7,3,15,16
"i5-5250U","Mobile",2,315,2015,2.7,3,15,16
"i5-5257U","Mobile",2,315,2015,3.1,3,28,16
"i5-5287U","Mobile",2,315,2015,3.3,3,28,16
"i5-5300U","Mobile",2,281,2015,2.9,3,15,16
"i5-5350H","Mobile",2,289,2015,3.5,4,47,32
"i5-5350U","Mobile",2,315,2015,2.9,3,15,16
"i5-5575R","Desktop",4,244,2015,3.3,4,65,32
"i3-5005U","Mobile",2,275,2015,2,3,15,16
"i5-5675R","Desktop",4,265,2015,3.6,4,65,32
"i3-5010U","Mobile",2,281,2015,2.1,3,15,16
"i3-5015U","Mobile",2,275,2015,2.1,3,15,16
"i3-5020U","Mobile",2,281,2015,2.2,3,15,16
"i3-5157U","Mobile",2,315,2015,2.5,3,28,16
"5Y10c","Mobile",2,281,2014,2,4,4.5,16
"5Y31","Mobile",2,281,2014,2.4,4,4.5,16
"5Y51","Mobile",2,281,2014,2.6,4,4.5,16
"5Y71","Mobile",2,281,2014,2.9,4,4.5,16
"i7-4558U","Mobile",2,426,2013,3.3,4,28,16
"i7-4550U","Mobile",2,426,2013,3,4,15,16
"i7-4510U","Mobile",2,393,2014,3.1,4,15,16
"i7-4500U","Mobile",2,393,2013,3,4,15,16
"i7-4650U","Mobile",2,426,2013,3.3,4,15,16
"i7-4610Y","Mobile",2,393,2013,2.9,4,11.5,16
"i7-4600U","Mobile",2,393,2013,3.3,4,15,16
"i7-4600M","Mobile",2,346,2013,3.6,4,37,32
"i7-4790T","Desktop",4,303,2014,3.9,8,45,32
"i7-4785T","Desktop",4,303,2014,3.2,8,35,32
"i7-4770TE","Embedded",4,303,2013,3.3,8,45,32
"i7-4770T","Desktop",4,303,2013,3.7,8,45,32
"i7-4770R","Desktop",4,358,2013,3.9,6,65,32
"i7-4765T","Desktop",4,303,2013,3,8,35,32
